uniprotID,pdbID
A0AVT1,4NNJ
A0AVT1,3CMM
A0AVT1,3CMM
A0AVT1,4II2
A4D1E9,1LNZ
A4D1E9,1LNZ
A4D1E9,1UDX
A4QPB2,4DG6
A4QPB2,4DG6
A4QPB2,3S94
A4QPB2,3S94
A4QPB2,3S94
A4QPB2,3S94
A4QPB2,3SOB
A4QPB2,3SOQ
A4QPB2,3V64
A4QPB2,3V65
A4QPB2,3S2K
A4QPB2,3S2K
A4QPB2,4A0P
A4QPB2,4A0P
A4QPB2,3S8V
A4QPB2,3S8V
A4QPB2,3S8V
A4QPB2,3S8V
A4QPB2,1IJQ
A4QPB2,1IJQ
A4QPB2,3P5B
A4QPB2,3P5C
A4QPB2,1N7D
A4QPB2,1NPE
A6NHL2,3RYC
A6NHL2,4I4T
A6NHL2,4DRX
A6NHL2,4DRX
A6NHL2,1Z2B
A6NHL2,3DU7
A6NHL2,3HKB
A6NHL2,1SA0
A6NHL2,1FFX
A6NHL2,3J6E
A6NHL2,1TUB
A6NHL2,1JFF
A6NHL2,2XRP
A6NHL2,4FFB
A6NHL2,4DRX
A6NHL2,4DRX
A6NHL2,4F61
A6NHL2,3DU7
A6NHL2,4I4T
A6NHL2,4LNU
A6NHL2,3RYC
A6NHL2,1Z2B
A6NHL2,2XRP
A6NHL2,1FFX
A6NHL2,1TUB
A6NHL2,4UY0
A6NHL2,4FFB
A6NHL2,2BTQ
A6NHL2,2BTO
A6NHL2,1Z5V
A6NHL2,3CB2
A6NIV6,4MN8
A6NIV6,4MNA
A6NIV6,4MNA
A6NJ78,1WG8
A6NJ78,1WG8
A6NJ78,3TKA
A6NJ78,1M6Y
O00116,4BBY
O00116,4BBY
O00116,4BCA
O00116,4BCA
O00116,4BC7
O00116,4BC7
O00116,2UUU
O00116,2UUU
O00142,1OT3
O00142,1OT3
O00142,1OT3
O00142,1OT3
O00142,1J90
O00142,2JCS
O00142,1ZMX
O00142,1ZMX
O00142,1ZMX
O00142,1ZMX
O00142,2A2Z
O00142,2A2Z
O00142,3QEO
O00142,2ZI4
O00142,2NO9
O00142,3QEJ
O00142,4JLK
O00142,2ZI3
O00142,3HP1
O00142,2QRN
O00142,2QRN
O00142,3IPX
O00142,1P5Z
O00142,2OCP
O00142,2OCP
O00142,2OCP
O00142,2OCP
O00186,3PUK
O00186,3PUK
O00186,3PUJ
O00186,3PUJ
O00186,3C98
O00186,4JEH
O00186,4JEU
O00186,4CCA
O00186,1FVF
O00186,1EPU
O00186,2XHE
O00214,4FQZ
O00214,4HAN
O00254,2LNL
O00255,3U84
O00255,3U84
O00255,4OG3
O00255,4GPQ
O00255,4OG6
O00255,3RE2
O00270,2LNL
O00338,2AD1
O00338,2Z5F
O00338,2H8K
O00338,2ZPT
O00338,3QVU
O00338,3QVU
O00338,1Z29
O00338,1Z28
O00338,4GRA
O00338,4GRA
O00338,1LS6
O00338,3U3K
O00338,3U3K
O00338,1CJM
O00338,3U3J
O00338,3U3J
O00338,3U3R
O00338,1G3M
O00338,1HY3
O00338,1AQU
O00338,1Q1Z
O00338,1Q1Q
O00338,1J99
O00338,1EFH
O00338,1EFH
O00338,3F3Y
O00338,3F3Y
O00338,2QP3
O00338,1OV4
O00338,2QP4
O00338,4IFB
O00338,1ZD1
O00338,1ZD1
O00445,2R83
O00574,2LNL
O00587,2J0A
O00628,3W15
O00634,4PLM
O14521,3VR8
O14521,3VR8
O14579,3MKR
O14610,1A0R
O14610,2TRC
O14610,1TBG
O14610,1GOT
O14610,1XHM
O14610,4MK0
